altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,7,20,Chicago,67,True,True,Chicago,2021-08-31 13:17:25,41.9256018819,Chicago,-87.6537080423,60602,Chicago,Chicago,Sheffield Ave & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,27
0.0,1,20,Chicago,68,True,True,Chicago,2021-08-31 13:12:13,41.875885,Chicago,-87.640795,60602,Chicago,Chicago,Clinton St & Tilden St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,20,3,Chicago,69,True,True,Chicago,2021-08-31 13:17:05,41.9093960065,Chicago,-87.6776919292,60602,Chicago,Chicago,Damen Ave & Pierce Ave,IN_SERVICE,1,IN_SERVICE,False,23
0.0,21,1,Chicago,71,True,True,Chicago,2021-08-31 13:12:31,41.8854833079,Chicago,-87.6523048564,60602,Chicago,Chicago,Morgan St & Lake St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,0,38,Chicago,72,True,True,Chicago,2021-08-31 13:15:40,41.860384,Chicago,-87.625813,60602,Chicago,Chicago,Wabash Ave & 16th St,IN_SERVICE,1,IN_SERVICE,False,39
0.0,2,17,Chicago,73,True,True,Chicago,2021-08-31 12:42:02,41.880422,Chicago,-87.642746,60602,Chicago,Chicago,Jefferson St & Monroe St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,1,21,Chicago,74,True,True,Chicago,2021-08-31 13:08:21,41.89380805624359,Chicago,-87.64169722795485,60602,Chicago,Chicago,Kingsbury St & Erie St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,20,23,Chicago,75,True,True,Chicago,2021-08-31 13:04:25,41.877245,Chicago,-87.639366,60602,Chicago,Chicago,Canal St & Jackson Blvd,IN_SERVICE,1,IN_SERVICE,False,43
0.0,9,26,Chicago,76,True,True,Chicago,2021-08-31 13:19:22,41.880958,Chicago,-87.616743,60602,Chicago,Chicago,DuSable Lake Shore Dr & Monroe St,IN_SERVICE,1,IN_SERVICE,False,39
0.0,7,24,Chicago,77,True,True,Chicago,2021-08-31 13:18:16,41.882242,Chicago,-87.641066,60602,Chicago,Chicago,Clinton St & Madison St,IN_SERVICE,1,IN_SERVICE,False,31
0.0,0,19,Chicago,80,True,True,Chicago,2021-08-31 13:00:57,41.880419,Chicago,-87.655519,60602,Chicago,Chicago,Aberdeen St & Monroe St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,32,7,Chicago,81,True,True,Chicago,2021-08-31 13:18:24,41.884241,Chicago,-87.629634,60602,Chicago,Chicago,Daley Center Plaza,IN_SERVICE,1,IN_SERVICE,False,39
0.0,7,12,Chicago,84,True,True,Chicago,2021-08-31 13:16:31,41.891578,Chicago,-87.648384,60602,Chicago,Chicago,Milwaukee Ave & Grand Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,16,6,Chicago,85,True,True,Chicago,2021-08-31 13:16:05,41.90096039,Chicago,-87.62377664,60602,Chicago,Chicago,Michigan Ave & Oak St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,7,12,Chicago,86,True,True,Chicago,2021-08-31 13:17:38,41.89637337,Chicago,-87.66098386,60602,Chicago,Chicago,Eckhart Park,IN_SERVICE,1,IN_SERVICE,False,19
0.0,0,19,Chicago,87,True,True,Chicago,2021-08-31 13:10:11,41.92556258,Chicago,-87.65840426,60602,Chicago,Chicago,Racine Ave & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,0,19,Chicago,88,True,True,Chicago,2021-08-31 12:26:34,41.884069,Chicago,-87.656853,60602,Chicago,Chicago,Racine Ave & Randolph St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,0,31,Chicago,89,True,True,Chicago,2021-08-31 12:51:24,41.8750236280333,Chicago,-87.6330940425396,60602,Chicago,Chicago,Financial Pl & Ida B Wells Dr,IN_SERVICE,1,IN_SERVICE,False,31
0.0,6,40,Chicago,90,True,True,Chicago,2021-08-31 13:14:54,41.8810317,Chicago,-87.62408432,60602,Chicago,Chicago,Millennium Park,IN_SERVICE,1,IN_SERVICE,False,47
0.0,6,25,Chicago,91,True,True,Chicago,2021-08-31 13:14:06,41.88338,Chicago,-87.64117,60602,Chicago,Chicago,Clinton St & Washington Blvd,IN_SERVICE,1,IN_SERVICE,False,31
